"Collòqui transfrontalièr Vos convidam a un eveniment excepcional, organizat en partenariat amb l'Institut d'Estudis Catalans, la Societat Catalana de Pedagogia, l'ESPE de Perpinhan, Bressola e APRENE : una jornada de collòqui a prepaus de Familhas de Lengas, a Perpinhan, lo 20 de novembre.","Colloque transfrontalier Nous vous invitons à une événement exceptionnel, organisé en partenariat avec l'Institut d'Estudis Catalans, la Societat Catalana de Pedagogia, l'ESPE de Perpignan, Bressola et APRENE : une journée de colloque à propos de Familles de Langues, à Perpignan, le 20 novembre. Consultez le programme en suivant ce lien.",lengadoc
Un rencontre es organisat tanben lo 19 al vespre.,Une rencontre est également organisée le 19 dans la soirée.,lengadoc
Consultatz lo programa en seguir aquel ligam.,Une place importante sera donnée aux praticiens du plurilingüisme.,lengadoc
"Una plaça importanta serà balhada als practicians del plurilingüisme, pensi amai que cal pas mancar d'ausir e de rencontrar Tibert Stegman, paire de Familhas de Lengas e Laurenç Gajo, grand especialiste del plurilingüisme.","Je pense également qu'il ne faut pas manquer l'occasion d'écouter et rencontrer Tibert Stegman, père de Familles de Langues et Laurent Gajo, grand spécialiste du plurilingüisme.",lengadoc
Patrici Baccou,Patrice Baccou,lengadoc
afiliat + vacanças,affilie+vacances,lengadoc
Aprene es afiliat a L'establiment APRENE serà tampat del diluns 23 de decembre al dimècres 1ièr de genièr.,Aprene est affilié à L'établissement APRENE sera fermé du lundi 23 décembre au mercredi 1er janvier.,lengadoc
Los messatges telefonics e los messatges electronics seràn consultats tre lo dijòus 2 de genièr.,Les messages adressés par courrier éléctronique ou laissés sur le répondeur seront traités dès le jeudi 2 janvier.,lengadoc
Cinquenas jornadas Maleta,"Cinquième journée ""Maleta""",lengadoc
Se debanèt lo 16 de mai e lo 12 de junh al Cirdòc.,le rendez-vous était fixé le 16 mai et le 12 juin au Cirdòc.,lengadoc
La còla de las Calandrinas en primièra annada de formacion a APRENE a pres lo nom de son pairin lo dimars 7 de genièr de 2020.,La promotion des étudiantes en première année de formation à APRENE a pris le nom de son parrain mardi 7 janvier 2020.,lengadoc
Se ditz ara la còla Silvan Carrere Tisne.,Elle s'appelle désormais la promotion Sylvain Carrère Tisné.,lengadoc
Causir una personalitat occitana...,Choisir une personnalité occitane...,lengadoc
Lo principi ?,Le principe pour la promotion des nouveaux étudiants ?,lengadoc
"Demandar de manlevar lo sieu nom a una femna, un òme o encara un grop, mas qualqu'un de viu.",Demander à une personnalité qui a oeuvré pour le monde occitan de lui emprunter son nom.,lengadoc
Qualqu'un que pòrta la lenga e mai l'enaura.,"Une femme, un homme, un groupe...",lengadoc
Son los futurs regents que causisson.,"Mais, de toute façon, il faut demander les yeux dans les yeux à quelqu'un de vivant. Ce sont les futurs enseignants des Calandretas, au début de leur formation initiale de professeurs d'écoles, qui choisissent cette personnalité.",lengadoc
"Presentan la demanda, cara a cara, davant los amics de la lenga occitana que se vòlon plan associar al gèst.","Si le parrain accepte, son nom devient celui de leur promotion d'APRENE.",lengadoc
Alavetz s'agís de causir una personalitat del movement occitan e de li demandar de plan voler partejar lo sieu nom!,"Et lors de  la batejada , les étudiants présentent leur demande dans une mise en scène personnelle, devant les amis de la langue occitane réunis pour appuyer leur geste et fêter l'événement. ...",lengadoc
..Manlevar lo nom de qualqu'un?,Il s'agit donc d'emprunter le nom de quelqu'un...,lengadoc
"... Es quicòm, aquò!","Et le nom, ce n'est pas rien !",lengadoc
"Per la mairina, pel pairin, que li demandan de partejar lo sieu nom, es una reconeissença de son accion en lenga nòstra.","Donner son nom c'est quelque chose ! C'est céder un peu de soi-même, un peu de son identité.",lengadoc
"Mas, de daissar partir lo sieu nom sus las espatlas d'aqueles joves, pasmens, aquò es pas ordinari.","Laisser ainsi partir son nom sur les épaules d'un groupe de jeunes gens, c'est un signe de confiance profonde.",lengadoc
"Es a l'encòp lor far fisança e marcar lo passatge de las generacions. E mai la multiplicacion del singular cap al plural, tre que lo nom individual ven un nom de còla.","Mais, pour la marraine, pour le parrain, cette demande de la jeune génération constitue une marque de reconnaissance de son action en faveur de la langue occitane.",lengadoc
Mòstra que la cadena que fa passar la lenga d'una generacion cap a la seguenta es pas copada.,Cela montre également au grand jour que la chaîne qui fait passer la langue d'une génération à la suivante n'est pas interrompue.,lengadoc
La batejada aplanta publicament que de joves vòlon persegre e perlongar la dralha dobèrta per  d'ancians .,La batejada  indique publiquement que des jeunes gens veulent poursuivre et prolonger les perspectives ouvertes par les anciens.,lengadoc
"Enfin la batejada assolida publicament que cal de mai en mai d'ensenhament EN occitan. Aquela còla de futurs regents de Calandreta, que farà la demanda en decembre, es a començar sa formacion iniciala. Demercé la batejada, se ligan entre eles a l'entorn d'un nom, e ligan lor projècte professional amb un portaire de la lenga nòstra plan famós.","Enfin  la batejada  met en avant la promotion de futurs enseignants des Calandretas, ceux que nous appelons des  calandrins , et qui offriront bientôt chacun mille heures d'enseignement par an EN occitan aux ""pichons"" des écoles Calandreta.",lengadoc
"La batejada simboliza tot aquò: la multiplicacion, lo passatge, la trasmission, l'espandi, la fisança cap als joves...","La batejada  symbolise tout cela à la fois : la multiplication, le passage, la transmission, le développement, la confiance faite aux jeunes.",lengadoc
"Anòncia, coma la Calandreta, la prima de la lenga!",C'est l'annonce du printemps de la  lenga nòstra !,lengadoc
Serà la fèsta de la volontat tranquila del mond qu'òbran perque subrevisca e s'espandiga al pus mai aquela lenga que tant presam.,. C'est la fête de la volonté tranquille que nous mettons en œuvre pour maintenir vivante et pour développer autant que faire se peut cette langue qui nous est chère.,lengadoc
Retròspectiva Batejada,Rétrospective Batejada,lengadoc
Collòqui ISLRF - Kelenn,Colloque ISLRF - Kelenn,lengadoc
Lo 7èn collòqui internacional de l' ISLRF se debanarà lo divendres 23 e lo dissabte 24 de març de 2018 a Quimper.,Le 7ème colloque international de l' ISLRF se déroulera les vendredi 23 et samedi 24 mars 2018 à Quimper.,lengadoc
"Es organizat dins lo quadre del 40èn anniversari de la creacion de la ret Diwan, escòlas immersivas en lenga bretona.",Il est organisé dans le cadre du quarantième anniversaire de la création du réseau Diwan d'écoles immersives en langue bretonne.,lengadoc
Interven un pauc mai de vint ans aprèp la mesa en plaça de l' ISLRF.,"Il intervient aussi un peu plus de vingt ans après la mise en place de l' ISLRF. Il sera l'occasion d'interroger à nouveau les concepts d'immersion linguistique dans le cadre scolaire et plus généralement d'éducation immersive bi-plurilingue. En effet, la question de la transmission, y compris hors de l'école, est désormais vitale alors que les nouveaux locuteurs de ces langues sont en passe de devenir plus nombreux que leurs locuteurs traditionnels.",lengadoc
Shiula Floreta... muda !,Shiula Floreta...,lengadoc
Escriure e cooperar fa part de la formacion.,Écrire et coopérer fait partie de la formation.,lengadoc
La còla APRENE 1 publicava un numèro de son jornal a la fin de cada estagi a Besièrs.,La còla APRENE 1 publiait un numéro de son journal a la fin de chaque stage à Béziers.,lengadoc
Cada numèro es portat per un cap redactor diferent qu'a la responsabilitat de coordenar lo trabalh de la còla e de garantir la sortida del jornal en temps e ora.,Chaque numéro est porté par un chef rédacteur différent qui a la responsabilité de coordonner le travail du groupe et de garantir la sortie en temps et en heure.,lengadoc
"Los articles son legits, corregits e validats per l'ensem del grop.","Les articles sont lus, corrigés et validés par l'ensemble du groupe.",lengadoc
Lo jornal èra difusat en version electronica e en version papièr demest lo mitan occitan e de l'ensenhament.,Le journal était diffusé en version électronique ainsi qu'en version papier parmi le milieu occitan et le milieu de l'enseihnement.,lengadoc
Dempuèi lo 16 de març de 2020 las causas an cambiat.,Depuis le 16 de mars 2020 les choses ont changés.,lengadoc
Podiam pas pus trabalhar sus un format papièr alara nos sèm modernizats e avèm causits de vos prepausar un jornal jos forma de site internet.,Nous ne pouvions plus travailler sur un format papier alors nous nous sommes modernisés et avons choisi de vous proposer un journal sous forme de site internet.,lengadoc
Lo grop a crescut qu'aculhissèm dins la còla d'autors Lòris Rostaing e Angelò Bordin de la FF (formacion de formators).,Le groupe s'est agrandi puisque nous accueillons deux auteurs : Lòris Rostaing e Angelò Bordin de la FF (formation de formateurs).,lengadoc
"Podètz retrobar los articles costumièrs mas tanben las publicacions de las autras produccions de la còla, particularament expausats e enquèstas.","Vous pouvez retrouver les articles habituels mais également les publications des autres productions de la còla, particulièrement les exposés et les enquêtes.",lengadoc
Los projèctes PEE 2019-2020 son en linha !,Les projets PEE 2019-2020 sont en ligne !,lengadoc
Los projèctes a mira cooperativa realizats per las PEE (professoras de las escòlas estagiàrias) e presentats lo 27 de mai passat son a posita dins la Maleta / portalh occitanica.,Les projets à visée coopérative réalisés par les PES (professeurs des écoles stagiaires) et présentés le 27 mai dernier sont disponibles dans la Maleta / portalh occitanica.,lengadoc
Totes los projèctes realizats pels regents en darrièra annada de formacion iniciala se trapan aquí !,L'ensemble des projets réalisés par les enseignants en dernière année de formation initiale se trouvent ici !,lengadoc
4enas jornadas de l'innovacion pedagogica,Journées de l'innovation pédagogique 2018,lengadoc
4enas jornadas de l'innovacion pedagogica los 13 e 14 de junh de 2018 al CIRDÒC Los projèctes presentats son a posita sus la Maleta.,"4èmes journées de l'innovation pédagogique. Les 13 et 14 juin 2018 au CIRDÒC Pour la quatrième année, LO CIRDÒC, l'établissement APRENE et les contributeurs de la Maleta d'Occitanica ont invité professionnels, enseignants e animateurs pour deux jours d'échanges et de rencontres ; une édition placée sur le thème ""Écrire et éditer pour la jeunesse"". Les projets présentés sont disponibles sur la Maleta.",lengadoc
Lo 8en collòqui de l'ISLRF,Le 8ème colloque de l'ISLRF,lengadoc
Lo 8en collòqui de l'ISLRF se debanarà a Baiona los 18 e 19 d'octòbre de 2019 D'unes Paissèls-ajudaires de l'establiment Aprene i participaràn en qualitat de comunicants.,Le 8ème collòque de l'ISLRF se déroulera à Bayonne les 18 et 19 octobre 2019 Des Paissèls-ajudaires de l'établissement Aprene y participeront en tant que communiquants.,lengadoc
Cap a una pedagogia del plurilinguisme ?,Vers une pédagogie du plurilinguisme ?,lengadoc
